augmentation_couple,augmentation_1,augmentation_2,iter_0,average
Noise_Noise,Noise,Noise,0.3620017170906067,0.3620017170906067
Noise_Scaling,Noise,Scaling,0.421658992767334,0.421658992767334
Noise_Magnitude Warp,Noise,Magnitude Warp,0.29856789112091064,0.29856789112091064
Noise_Random Sampling,Noise,Random Sampling,0.4226587414741516,0.4226587414741516
Noise_Flip,Noise,Flip,0.36225467920303345,0.36225467920303345
Noise_Drop,Noise,Drop,0.3419739007949829,0.3419739007949829
Noise_Noise+Scaling,Noise,Noise+Scaling,0.36791008710861206,0.36791008710861206
Scaling_Noise,Scaling,Noise,0.300442636013031,0.300442636013031
Scaling_Scaling,Scaling,Scaling,0.4113854169845581,0.4113854169845581
Scaling_Magnitude Warp,Scaling,Magnitude Warp,0.43346917629241943,0.43346917629241943
Scaling_Random Sampling,Scaling,Random Sampling,0.293260395526886,0.293260395526886
Scaling_Flip,Scaling,Flip,0.36490821838378906,0.36490821838378906
Scaling_Drop,Scaling,Drop,0.4165056347846985,0.4165056347846985
Scaling_Noise+Scaling,Scaling,Noise+Scaling,0.24681830406188965,0.24681830406188965
Magnitude Warp_Noise,Magnitude Warp,Noise,0.3706405758857727,0.3706405758857727
Magnitude Warp_Scaling,Magnitude Warp,Scaling,0.4124431610107422,0.4124431610107422
Magnitude Warp_Magnitude Warp,Magnitude Warp,Magnitude Warp,0.36568140983581543,0.36568140983581543
Magnitude Warp_Random Sampling,Magnitude Warp,Random Sampling,0.45143288373947144,0.45143288373947144
Magnitude Warp_Flip,Magnitude Warp,Flip,0.42209160327911377,0.42209160327911377
Magnitude Warp_Drop,Magnitude Warp,Drop,0.43966954946517944,0.43966954946517944
Magnitude Warp_Noise+Scaling,Magnitude Warp,Noise+Scaling,0.3287479281425476,0.3287479281425476
Random Sampling_Noise,Random Sampling,Noise,0.36833691596984863,0.36833691596984863
Random Sampling_Scaling,Random Sampling,Scaling,0.27096623182296753,0.27096623182296753
Random Sampling_Magnitude Warp,Random Sampling,Magnitude Warp,0.31541723012924194,0.31541723012924194
Random Sampling_Random Sampling,Random Sampling,Random Sampling,0.3116123080253601,0.3116123080253601
Random Sampling_Flip,Random Sampling,Flip,0.3989495635032654,0.3989495635032654
Random Sampling_Drop,Random Sampling,Drop,0.442676305770874,0.442676305770874
Random Sampling_Noise+Scaling,Random Sampling,Noise+Scaling,0.3654736280441284,0.3654736280441284
Flip_Noise,Flip,Noise,0.3283548951148987,0.3283548951148987
Flip_Scaling,Flip,Scaling,0.31074440479278564,0.31074440479278564
Flip_Magnitude Warp,Flip,Magnitude Warp,0.4488821029663086,0.4488821029663086
Flip_Random Sampling,Flip,Random Sampling,0.32482677698135376,0.32482677698135376
Flip_Flip,Flip,Flip,0.3048419952392578,0.3048419952392578
Flip_Drop,Flip,Drop,0.38021713495254517,0.38021713495254517
Flip_Noise+Scaling,Flip,Noise+Scaling,0.36786949634552,0.36786949634552
Drop_Noise,Drop,Noise,0.35680949687957764,0.35680949687957764
Drop_Scaling,Drop,Scaling,0.35590314865112305,0.35590314865112305
Drop_Magnitude Warp,Drop,Magnitude Warp,0.3169650435447693,0.3169650435447693
Drop_Random Sampling,Drop,Random Sampling,0.415266215801239,0.415266215801239
Drop_Flip,Drop,Flip,0.26768702268600464,0.26768702268600464
Drop_Drop,Drop,Drop,0.35724443197250366,0.35724443197250366
Drop_Noise+Scaling,Drop,Noise+Scaling,0.37738388776779175,0.37738388776779175
Noise+Scaling_Noise,Noise+Scaling,Noise,0.25460535287857056,0.25460535287857056
Noise+Scaling_Scaling,Noise+Scaling,Scaling,0.4023074507713318,0.4023074507713318
Noise+Scaling_Magnitude Warp,Noise+Scaling,Magnitude Warp,0.41845476627349854,0.41845476627349854
Noise+Scaling_Random Sampling,Noise+Scaling,Random Sampling,0.45403820276260376,0.45403820276260376
Noise+Scaling_Flip,Noise+Scaling,Flip,0.355807900428772,0.355807900428772
Noise+Scaling_Drop,Noise+Scaling,Drop,0.2640916109085083,0.2640916109085083
Noise+Scaling_Noise+Scaling,Noise+Scaling,Noise+Scaling,0.29451489448547363,0.29451489448547363
